Date : 2025-05-22 20:01:21
Directory : /Users/spursh/Documents/code/equestria
Total : 63 files,  10847 codes, 1954 comments, 1347 blanks, all 14148 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/spursh/Documents/code/equestria/app/economy/page.tsx                            | TypeScript JSX     |        109 |          0 |         13 |        122 |
| /Users/spursh/Documents/code/equestria/app/globals.css                                 | CSS                |        129 |          1 |          9 |        139 |
| /Users/spursh/Documents/code/equestria/app/layout.tsx                                  | TypeScript JSX     |         35 |          0 |          4 |         39 |
| /Users/spursh/Documents/code/equestria/app/maps/page.tsx                               | TypeScript JSX     |        195 |          0 |         19 |        214 |
| /Users/spursh/Documents/code/equestria/app/our-country/page.tsx                        | TypeScript JSX     |        111 |          0 |         15 |        126 |
| /Users/spursh/Documents/code/equestria/app/page.tsx                                    | TypeScript JSX     |        158 |          0 |         16 |        174 |
| /Users/spursh/Documents/code/equestria/app/test-images/page.tsx                        | TypeScript JSX     |         31 |          0 |          2 |         33 |
| /Users/spursh/Documents/code/equestria/components.json                                 | JSON               |         21 |          0 |          0 |         21 |
| /Users/spursh/Documents/code/equestria/components/ai-chat-modal.tsx                    | TypeScript JSX     |        167 |          0 |         17 |        184 |
| /Users/spursh/Documents/code/equestria/components/animated-footer.tsx                  | TypeScript JSX     |         14 |          0 |          2 |         16 |
| /Users/spursh/Documents/code/equestria/components/footer.tsx                           | TypeScript JSX     |         67 |          0 |          5 |         72 |
| /Users/spursh/Documents/code/equestria/components/navbar.tsx                           | TypeScript JSX     |        101 |          0 |          9 |        110 |
| /Users/spursh/Documents/code/equestria/components/pledge-modal.tsx                     | TypeScript JSX     |         85 |          0 |         28 |        113 |
| /Users/spursh/Documents/code/equestria/components/theme-provider.tsx                   | TypeScript JSX     |         16 |          0 |          2 |         18 |
| /Users/spursh/Documents/code/equestria/components/theme-toggle.tsx                     | TypeScript JSX     |         48 |          1 |          9 |         58 |
| /Users/spursh/Documents/code/equestria/components/ui/button.tsx                        | TypeScript JSX     |         54 |          0 |          6 |         60 |
| /Users/spursh/Documents/code/equestria/components/ui/dialog.tsx                        | TypeScript JSX     |        122 |          0 |         14 |        136 |
| /Users/spursh/Documents/code/equestria/components/ui/dropdown-menu.tsx                 | TypeScript JSX     |        239 |          0 |         19 |        258 |
| /Users/spursh/Documents/code/equestria/components/ui/form.tsx                          | TypeScript JSX     |        143 |          0 |         25 |        168 |
| /Users/spursh/Documents/code/equestria/components/ui/input.tsx                         | TypeScript JSX     |         18 |          0 |          4 |         22 |
| /Users/spursh/Documents/code/equestria/components/ui/label.tsx                         | TypeScript JSX     |         20 |          0 |          5 |         25 |
| /Users/spursh/Documents/code/equestria/components/ui/modal.tsx                         | TypeScript JSX     |         21 |          0 |          2 |         23 |
| /Users/spursh/Documents/code/equestria/components/ui/select.tsx                        | TypeScript JSX     |        172 |          0 |         14 |        186 |
| /Users/spursh/Documents/code/equestria/components/ui/textarea.tsx                      | TypeScript JSX     |         15 |          0 |          4 |         19 |
| /Users/spursh/Documents/code/equestria/lib/ai-helper.ts                                | TypeScript         |         81 |          0 |         16 |         97 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/client.d.ts                | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/client.js                  | JavaScript         |          1 |          2 |          1 |          4 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/default.d.ts               | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/default.js                 | JavaScript         |          1 |          2 |          1 |          4 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/edge.d.ts                  | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/edge.js                    | JavaScript         |        148 |         21 |         27 |        196 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/index-browser.js           | JavaScript         |        136 |         21 |         26 |        183 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/index.d.ts                 | TypeScript         |      1,195 |        943 |        286 |      2,424 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/index.js                   | JavaScript         |        162 |         23 |         32 |        217 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/package.json               | JSON               |        140 |          0 |          0 |        140 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/runtime/edge-esm.js        | JavaScript         |         24 |          3 |          8 |         35 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/runtime/edge.js            | JavaScript         |         24 |          3 |          8 |         35 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/runtime/index-browser.d.ts | TypeScript         |        264 |         20 |         87 |        371 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/runtime/index-browser.js   | JavaScript         |          1 |         14 |          2 |         17 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/runtime/library.d.ts       | TypeScript         |      2,343 |        846 |        459 |      3,648 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/runtime/library.js         | JavaScript         |        101 |         16 |         30 |        147 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/runtime/react-native.js    | JavaScript         |         63 |          5 |         16 |         84 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/runtime/wasm.js            | JavaScript         |         25 |          3 |          8 |         36 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/schema.prisma              | Prisma             |         23 |          4 |          6 |         33 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/wasm.d.ts                  | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/spursh/Documents/code/equestria/lib/generated/prisma/wasm.js                    | JavaScript         |        136 |         21 |         26 |        183 |
| /Users/spursh/Documents/code/equestria/lib/prisma.ts                                   | TypeScript         |          5 |          1 |          5 |         11 |
| /Users/spursh/Documents/code/equestria/lib/utils.ts                                    | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/spursh/Documents/code/equestria/next.config.ts                                  | TypeScript         |         12 |          0 |          3 |         15 |
| /Users/spursh/Documents/code/equestria/package-lock.json                               | JSON               |      3,323 |          0 |          1 |      3,324 |
| /Users/spursh/Documents/code/equestria/package.json                                    | JSON               |         43 |          0 |          1 |         44 |
| /Users/spursh/Documents/code/equestria/postcss.config.mjs                              | JavaScript         |          4 |          0 |          2 |          6 |
| /Users/spursh/Documents/code/equestria/prisma/schema.prisma                            | Prisma             |         23 |          4 |          7 |         34 |
| /Users/spursh/Documents/code/equestria/public/file.svg                                 | XML                |          1 |          0 |          0 |          1 |
| /Users/spursh/Documents/code/equestria/public/globe.svg                                | XML                |          1 |          0 |          0 |          1 |
| /Users/spursh/Documents/code/equestria/public/next.svg                                 | XML                |          1 |          0 |          0 |          1 |
| /Users/spursh/Documents/code/equestria/public/vercel.svg                               | XML                |          1 |          0 |          0 |          1 |
| /Users/spursh/Documents/code/equestria/public/window.svg                               | XML                |          1 |          0 |          0 |          1 |
| /Users/spursh/Documents/code/equestria/tsconfig.json                                   | JSON with Comments |         27 |          0 |          1 |         28 |
| Total                                                                                  |                    |     10,847 |      1,954 |      1,347 |     14,148 |
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
